seccion,tipo,id_casilla,domicilio,ubicacion,referencia,lat,lng
0513,BASICA,1,"RÍO COPALITA, SIN NÚMERO, FRACCIONAMIENTO LOS RÍOS, CÓDIGO POSTAL 68028, OAXACA DE JUÁREZ, OAXACA",PARQUE LOS RÍOS,ENTRE LAS CALLES RÍO PAPALOAPAN Y RÍO COTZACOALCOS,17.0845294,-96.7005619
0514,BASICA,1,"BENITO JUÁREZ, SIN NÚMERO, DOLORES, CÓDIGO POSTAL 68028, OAXACA DE JUÁREZ, OAXACA",EXPLANADA DE LA AGENCIA MUNICIPAL DE DOLORES,ENTRE ANDADOR RÍO GRANDE Y CALLE RICARDO FLORES MAGÓN,17.0865618,-96.7023026
0515,BASICA,1,"AVENIDA RÍO GRANDE, SIN NÚMERO, UNIDAD HABITACIONAL RICARDO FLORES MAGÓN, CÓDIGO POSTAL 68025, OAXACA DE JUÁREZ, OAXACA",SALÓN DE USOS MÚLTIPLES,ENTRE LAS CALLES RÍO GRIJALVA Y PASEO PONIENTE,17.0850688,-96.6994015
0516,BASICA,1,"CENTRAL ORIENTE PONIENTE , SIN NÚMERO, UNIDAD HABITACIONAL RICARDO FLORES MAGÓN, CÓDIGO POSTAL 68025, OAXACA DE JUÁREZ, OAXACA",ESCUELA JARDIN DE NIÑOS MARIA DE JESUS VIVAS DE CASTILLO ,,17.0850869,-96.696438
0517,BASICA,1,"PASEO CENTRAL, SIN NÚMERO, UNIDAD HABITACIONAL RICARDO FLORES MAGÓN, CÓDIGO POSTAL 68025, OAXACA DE JUÁREZ, OAXACA",CANCHA DEPORTIVA DEL PASEO CENTRAL,ENTRE LAS CALLES ROSALIO BUSTAMANTE Y DÍAZ ZOTO,17.0838853,-96.6957925
0518,BASICA,1,"LA VOZ DE LA MUJER, SIN NÚMERO, UNIDAD HABITACIONAL RICARDO FLORES MAGÓN, CÓDIGO POSTAL 68025, OAXACA DE JUÁREZ, OAXACA",PLAZUELA VOZ DE LA MUJER,ENTRE ANDADOR PASEO PONIENTE Y CALLE LIBERTAD DE LA PRENSA,17.0822905,-96.6975124
0519,BASICA,1,"7 DE ENERO, SIN NÚMERO, UNIDAD HABITACIONAL INFONAVIT PRIMERO DE MAYO, CÓDIGO POSTAL 68020, OAXACA DE JUÁREZ, OAXACA",CANCHA DE VOLEIBOL,ENTRE LOS ANDADORES EBANISTERÍA Y CAOBA,17.0810903,-96.7091501
0520,BASICA,1,"IGNACIO MARISCAL ESQUINA MARCOS PÉREZ, SIN NÚMERO, UNIDAD HABITACIONAL DEL ISSSTE, CÓDIGO POSTAL 68024, OAXACA DE JUÁREZ, OAXACA",ESTACIONAMIENTO DE LA UNIDAD HABITACIONAL DEL ISSSTE,A UN COSTADO DEL PARQUE RECREATIVO,17.0828005,-96.7237243
0521,BASICA,1,"DOCTOR ALBERTO VARGAS, NÚMERO 26, AURORA, CÓDIGO POSTAL 68045, OAXACA DE JUÁREZ, OAXACA",AL EXTERIOR DEL DOMICILIO PARTICULAR,ENTRE LAS CALLES MÁRTIRES DE RÍO BLANCO Y PINOS,17.0808413,-96.7287181
0522,BASICA,1,"MÉXICO, NÚMERO 103, LINDA VISTA, CÓDIGO POSTAL 68030, OAXACA DE JUÁREZ, OAXACA",PÓRTICO DE LA ESCUELA PRIMARIA ADOLFO LÓPEZ MATEOS,ENTRE LAS CALLES PUEBLA Y SONORA,17.0801201,-96.74100999999990
0523,BASICA,1,"ANTEQUERA, NÚMERO 105, SAN FRANCISCO, CÓDIGO POSTAL 68030, OAXACA DE JUÁREZ, OAXACA",INSTITUTO CARLOS GRACIDA A.C.,ENTRE LAS CALLES EL MARQUESADO Y DEL FORTÍN,17.0819656,-96.74240379999990
0524,BASICA,1,"AVENIDA MONTOYA, SIN NÚMERO, MONTOYA, CÓDIGO POSTAL 68036, OAXACA DE JUÁREZ, OAXACA",AGENCIA DE MONTOYA,A UN COSTADO DE LA GASOLINERA DE MONTOYA,17.0729492,-96.7561024
0524,CONTIGUA,1,"AVENIDA MONTOYA, SIN NÚMERO, MONTOYA, CÓDIGO POSTAL 68036, OAXACA DE JUÁREZ, OAXACA",AGENCIA DE MONTOYA,A UN COSTADO DE LA GASOLINERA DE MONTOYA,17.0729492,-96.7561024
0525,BASICA,1,"CALZADA MADERO, NÚMERO 907, BARRIO DEL EX MARQUESADO, CÓDIGO POSTAL 68034, OAXACA DE JUÁREZ, OAXACA",ENFRENTE DE HOTEL LOS OLIVOS,,17.0772885,-96.7419888
0526,BASICA,1,"GUSTAVO DÍAZ ORDAZ, NÚMERO 205, BENITO JUÁREZ, CÓDIGO POSTAL 68030, OAXACA DE JUÁREZ, OAXACA",AL EXTERIOR DE LA OFICINA DEL COMITÉ DE VIDA VECINAL (COMVIVE) DE LA COLONIA BENITO JUÁREZ,ENTRE CARRETERA CRISTÓBAL COLÓN Y TERCERA CALLE DE INGENIERO VÍCTOR BRAVO AHUJA,17.0755646,-96.73475189999990
0527,BASICA,1,"NEPTUNO, SIN NÚMERO, ESTRELLA, CÓDIGO POSTAL 68045, OAXACA DE JUÁREZ, OAXACA",TANQUE DE REBOMBEO DE LA COLONIA ESTRELLA DEL SISTEMA OPERADOR DE LOS SERVICIOS DE AGUA POTABLE Y ALCANTARILLADO (SOAPA),A 100 METROS DE LA JUNTA LOCAL EJECUTIVA DEL INE OAXACA,17.0759347,-96.7276433
0528,BASICA,1,"RÍO AMAZONAS, SIN NÚMERO, LA CASCADA, CÓDIGO POSTAL 68040, OAXACA DE JUÁREZ, OAXACA",MERCADO ZONAL LA CASCADA,ENTRE CALLE RÍO NILO Y CALLE RÍO PEDREGAL,17.0767331,-96.7242336
0529,BASICA,1,CALZADA PORFIRIO DIAZ 243COLONIA REFORMA OAXACA DE JAUREZ OAXACA CODIGO POSTAL 68050,,CONTRA ESQUINA DE PLAZA PARQUE ,17.0798709,-96.7166728
0530,BASICA,1,"VIOLETAS, NÚMERO 401, REFORMA, CÓDIGO POSTAL 68050, OAXACA DE JUÁREZ, OAXACA",PLAZA COMERCIAL PABELLÓN VIOLETAS,ENTRE LAS CALLES HEROICA ESCUELA NAVAL MILITAR Y ÁLAMOS,17.0786438,-96.7105596
0531,BASICA,1,"PENSAMIENTOS, SIN NÚMERO, REFORMA, CÓDIGO POSTAL 68050, OAXACA DE JUÁREZ, OAXACA",AL EXTERIOR DEL DOMICILIO PARTICULAR,ENTRE LAS CALLES SABINOS Y PALMERAS,17.0750874,-96.7097094
0532,BASICA,1,"BELISARIO DOMÍNGUEZ, NÚMERO 718, REFORMA, CÓDIGO POSTAL 68050, OAXACA DE JUÁREZ, OAXACA",DOMICILIO PARTICULAR,ENTRE HEROICO COLEGIO MILITAR Y MANUEL RUIZ,17.074721,-96.7125118
0533,BASICA,1,"PALMERAS ESQUINA CON AMAPOLAS, SIN NÚMERO, REFORMA, CÓDIGO POSTAL 68050, OAXACA DE JUÁREZ, OAXACA",CENTRO DE ASISTENCIA INFANTIL COMUNITARIO (CAIC) NÚMERO 7,A UN COSTADO DE LA ESCUELA PRIMARIA CARLOS A. CARRILLO,17.0762953,-96.71487599999990
0534,BASICA,1,"NETZAHUALCÓYOTL, NÚMERO 109, REFORMA, CÓDIGO POSTAL 68050, OAXACA DE JUÁREZ, OAXACA",CENTRO DE APOYO PARA LA INTEGRACIÓN DEL NIÑO DOWN A.C,ENTRE CALZADA NIÑOS HÉROES DE CHAPULTEPEC Y PRIVADA DE ALMENDROS,17.0726261,-96.7180326
0535,BASICA,1,"BENITO JUÁREZ, SIN NÚMERO, BARRIO DE XOCHIMILCO, CÓDIGO POSTAL 68040, OAXACA DE JUÁREZ, OAXACA",CENTRO DE ASISTENCIA INFANTIL COMUNITARIO (CAIC) NÚMERO 8,A UNA CUADRA DEL PANTEÓN DE XOCHIMILCO,17.0619368,-96.73077479999990
0536,BASICA,1,"PRIVADA DE LA PLAZUELA VICENTE GUERRERO, NÚMERO 122, BARRIO DEL EX MARQUESADO, CÓDIGO POSTAL 68034, OAXACA DE JUÁREZ, OAXACA",DOMICILIO PARTICULAR,A 90 METROS DEL TEMPLO EVANGÉLICO,17.0665934,-96.7349397
0537,BASICA,1,"CALLE 20 DE NOVIEMBRE , NÚMERO 216, SANTA MARÍA EX MARQUESADO, CÓDIGO POSTAL 68034, OAXACA DE JUÁREZ, OAXACA",DOMICILIO PARTICULAR,,17.0793826,-96.7410182
0538,BASICA,1,"5 DE FEBRERO, NÚMERO 310, SANTA MARÍA EX MARQUESADO, CÓDIGO POSTAL 68034, OAXACA DE JUÁREZ, OAXACA",AL EXTERIOR DEL DOMICILIO PARTICULAR,ENTRE PROLONGACIÓN MONTES DE OCA Y CALLE OJITO DE AGUA,17.0742827,-96.73637149999990
0539,BASICA,1,"LUIS ENRIQUE ERRO, NÚMERO 100, VICENTE SUÁREZ, CÓDIGO POSTAL 68030, OAXACA DE JUÁREZ, OAXACA",ESCUELA SECUNDARIA TÉCNICA NÚMERO 64,A 70 METROS DEL MONUMENTO A LOS NIÑOS HÉROES,17.0720378,-96.738869
0540,BASICA,1,"AVENIDA MANUEL GÓMEZ MORÍN, NÚMERO 907, EL ARENAL, SAN MARTÍN MEXICAPAM, CÓDIGO POSTAL 68148, OAXACA DE JUÁREZ, OAXACA",ESTACIONAMIENTO DEL CENTRO DE DESARROLLO COMUNITARIO DIF PILARES OAXACA,ENTRE LA CALLE ALIANZA POPULAR Y PRIMERA PRIVADA DE PINO SUÁREZ,17.0694176,-96.7429719
0540,CONTIGUA,1,"AVENIDA MANUEL GÓMEZ MORÍN, NÚMERO 907, EL ARENAL, SAN MARTÍN MEXICAPAM, CÓDIGO POSTAL 68148, OAXACA DE JUÁREZ, OAXACA",ESTACIONAMIENTO DEL CENTRO DE DESARROLLO COMUNITARIO DIF PILARES OAXACA,ENTRE LA CALLE ALIANZA POPULAR Y PRIMERA PRIVADA DE PINO SUÁREZ,17.0694176,-96.7429719
0541,BASICA,1,"PLUTARCO ELÍAS CALLES, NÚMERO 210, LÁZARO CÁRDENAS, SAN MARTÍN MEXICAPAM, CÓDIGO POSTAL 68140, OAXACA DE JUÁREZ, OAXACA",DOMICILIO PARTICULAR,ENTRE CALLE VENUSTIANO CARRANZA Y ANDADOR FRANCISCO I. MADERO,17.0654251,-96.74974429999990
0541,CONTIGUA,1,"PLUTARCO ELÍAS CALLES, NÚMERO 210, LÁZARO CÁRDENAS, SAN MARTÍN MEXICAPAM, CÓDIGO POSTAL 68140, OAXACA DE JUÁREZ, OAXACA",DOMICILIO PARTICULAR,ENTRE CALLE VENUSTIANO CARRANZA Y ANDADOR FRANCISCO I. MADERO,17.0654251,-96.74974429999990
